# Метеостанция Волгоград, Россия, WMO_ID=34561, выборка с 01.01.2022 по 31.12.2022, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=34561&lang=ru
#
"Местное время в Волгограде";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"14.03.2022 15:00";"-1.4";"757.9";"769.0";"";"54";"Ветер, дующий с юго-юго-запада";"2";"";"11";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-9.7";"";"";"";"";"";"";
"14.03.2022 12:00";"-4.1";"759.1";"770.2";"";"53";"Ветер, дующий с юго-запада";"4";"";"10";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"-12.4";"";"";"";"";"";"";
"14.03.2022 09:00";"-7.2";"759.9";"771.2";"";"65";"Ветер, дующий с северо-запада";"3";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-12.8";"";"";"";"";"";"";
"14.03.2022 06:00";"-12.0";"760.2";"771.7";"";"72";"Ветер, дующий с северо-запада";"2";"";"";"10%  или менее, но не 0";" ";"";"";"-12.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-16.1";"Осадков нет";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"11.0";
"14.03.2022 03:00";"-11.4";"760.5";"772.0";"";"71";"Ветер, дующий с северо-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-15.7";"";"";"";"";"";"";
"14.03.2022 00:00";"-10.8";"761.1";"772.6";"";"72";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-15.0";"";"";"";"";"";"";
"13.03.2022 21:00";"-9.1";"760.5";"771.9";"";"68";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-13.9";"";"";"";"";"";"";
"13.03.2022 18:00";"-7.4";"759.8";"771.1";"";"62";"Ветер, дующий с севера";"2";"";"";"Облаков нет.";" ";"";"";"";"-3.8";"";"";"";"";"";"10.0";"-13.5";"Осадков нет";"12";"";"";"";"";
"13.03.2022 15:00";"-4.7";"759.1";"770.3";"";"55";"Ветер, дующий с севера";"3";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-12.5";"";"";"";"";"";"";
"13.03.2022 12:00";"-4.0";"758.9";"770.1";"";"55";"Ветер, дующий с востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-11.9";"";"";"";"";"";"";
"13.03.2022 09:00";"-9.2";"758.7";"770.1";"";"71";"Ветер, дующий с севера";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-13.6";"";"";"";"";"";"";
"13.03.2022 06:00";"-13.3";"757.5";"769.0";"";"80";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"-13.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-16.0";"Следы осадков";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"13.0";
"13.03.2022 03:00";"-12.6";"756.9";"768.4";"";"79";"Ветер, дующий с севера";"1";"";"";"20–30%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-15.5";"";"";"";"";"";"";
"13.03.2022 00:00";"-10.8";"756.8";"768.3";"";"79";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"";"10.0";"-13.7";"";"";"";"";"";"";
"12.03.2022 21:00";"-10.8";"756.4";"767.8";"";"76";"Ветер, дующий с севера";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-14.2";"";"";"";"";"";"";
"12.03.2022 18:00";"-8.3";"755.8";"767.2";"";"71";"Ветер, дующий с севера";"4";"";"";"Облаков нет.";" ";"";"";"";"-5.6";"";"";"";"";"";"10.0";"-12.7";"Осадков нет";"12";"";"";"";"";
"12.03.2022 15:00";"-6.5";"755.0";"766.3";"";"66";"Ветер, дующий с севера";"3";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-11.8";"";"";"";"";"";"";
"12.03.2022 12:00";"-6.4";"754.9";"766.2";"";"65";"Ветер, дующий с севера";"3";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-12.0";"";"";"";"";"";"";
"12.03.2022 09:00";"-10.9";"755.2";"766.6";"";"73";"Ветер, дующий с севера";"3";"";"";"100%.";"Облака в целом образовывались или развивались. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-14.9";"";"";"";"";"";"";
"12.03.2022 06:00";"-13.2";"754.6";"766.1";"";"79";"Ветер, дующий с севера";"3";"";"";"50%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-13.3";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"50%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-16.1";"Следы осадков";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"13.0";
"12.03.2022 03:00";"-12.4";"754.6";"766.0";"";"80";"Ветер, дующий с севера";"3";"";"";"100%.";"Снежные зерна (с туманом или без него). ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-15.2";"";"";"";"";"";"";
"12.03.2022 00:00";"-11.4";"754.9";"766.4";"";"80";"Ветер, дующий с севера";"2";"";"";"100%.";"Снежные зерна (с туманом или без него). ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"4.0";"-14.2";"";"";"";"";"";"";
"11.03.2022 21:00";"-10.1";"755.1";"766.5";"";"77";"Ветер, дующий с северо-северо-востока";"3";"";"10";"50%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-13.4";"";"";"";"";"";"";
"11.03.2022 18:00";"-8.6";"754.5";"765.8";"";"73";"Ветер, дующий с северо-северо-востока";"3";"";"10";"50%.";" ";"";"";"";"-5.6";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"50%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-12.6";"Следы осадков";"12";"";"";"";"";
"11.03.2022 15:00";"-6.3";"754.0";"765.3";"";"66";"Ветер, дующий с северо-северо-востока";"5";"10";"11";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-11.7";"";"";"";"";"";"";
"11.03.2022 12:00";"-6.1";"754.5";"765.7";"";"67";"Ветер, дующий с северо-востока";"4";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-11.3";"";"";"";"";"";"";
"11.03.2022 09:00";"-6.8";"754.0";"765.3";"";"74";"Ветер, дующий с северо-востока";"4";"10";"11";"90  или более, но не 100%";"Облака в целом рассеиваются или становятся менее развитыми. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"70 – 80%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-10.7";"";"";"";"";"";"";
"11.03.2022 06:00";"-6.4";"753.4";"764.7";"";"80";"Ветер, дующий с северо-северо-востока";"4";"";"10";"100%.";" ";"";"";"-8.3";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-9.4";"Осадков нет";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"13.0";
"11.03.2022 03:00";"-6.6";"752.7";"763.9";"";"83";"Ветер, дующий с севера";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-9.0";"";"";"";"";"";"";
"11.03.2022 00:00";"-8.0";"752.6";"763.9";"";"81";"Ветер, дующий с северо-запада";"4";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-10.7";"";"";"";"";"";"";
"10.03.2022 21:00";"-5.4";"752.2";"763.3";"";"80";"Ветер, дующий с севера";"3";"";"";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-8.3";"";"";"";"";"";"";
"10.03.2022 18:00";"-2.8";"751.3";"762.3";"";"77";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"";"-1.2";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-6.4";"Следы осадков";"12";"";"";"";"";
"10.03.2022 15:00";"-1.6";"750.9";"761.8";"";"71";"Ветер, дующий с северо-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"300-600";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-6.3";"";"";"";"";"";"";
"10.03.2022 12:00";"-1.3";"750.7";"761.7";"";"71";"Ветер, дующий с северо-запада";"1";"";"";"100%.";"Ливневый снег или ливневый дождь и снег. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-5.9";"";"";"";"";"";"";
"10.03.2022 09:00";"-3.1";"750.3";"761.3";"";"86";"Ветер, дующий с северо-запада";"2";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"1.0";"-5.1";"";"";"";"";"";"";
"10.03.2022 06:00";"-3.1";"749.3";"760.3";"";"88";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-3.5";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"2.0";"-4.8";"Осадков нет";"12";"";"";"";"";
"10.03.2022 03:00";"-3.0";"749.0";"760.0";"";"89";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"2.0";"-4.6";"";"";"";"";"";"";
"10.03.2022 00:00";"-3.3";"748.6";"759.7";"";"88";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"2.0";"-5.0";"";"";"";"";"";"";
"09.03.2022 21:00";"-3.3";"748.1";"759.1";"";"87";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"4.0";"-5.2";"";"";"";"";"";"";
"09.03.2022 18:00";"-2.5";"746.9";"757.9";"";"83";"Ветер, дующий с юго-запада";"1";"";"";"100%.";" ";"";"";"";"-1.4";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-5.1";"Осадков нет";"12";"";"";"";"";
"09.03.2022 15:00";"-1.6";"746.3";"757.2";"";"80";"Ветер, дующий с юго-запада";"3";"";"10";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-4.6";"";"";"";"";"";"";
"09.03.2022 12:00";"-1.7";"745.6";"756.4";"";"84";"Ветер, дующий с западо-юго-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-4.1";"";"";"";"";"";"";
"09.03.2022 09:00";"-3.0";"745.4";"756.4";"";"86";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось.  Диаметр отложения мокрого снега составляет 11 мм.";"Снег и/или другие виды твердых осадков";"Туман или ледяной туман или сильная мгла.";"-3.8";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-5.1";"";"";"";"";"";"";
"09.03.2022 06:00";"-3.4";"745.3";"756.3";"";"89";"Ветер, дующий с юга";"1";"";"";"100%.";"Дымка.  Диаметр отложения мокрого снега составляет 11 мм.";"Снег и/или другие виды твердых осадков";"Туман или ледяной туман или сильная мгла.";"-3.4";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"4.0";"-5.0";"10.0";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"21.0";
"09.03.2022 03:00";"-0.5";"745.3";"756.1";"";"90";"Ветер, дующий с юга";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Снег непрерывный слабый в срок наблюдения.  Диаметр отложения мокрого снега составляет 13 мм.";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"";"";"";"";"";"";"";"0.5";"-1.9";"";"";"";"";"";"";
"09.03.2022 00:00";"-0.5";"746.8";"757.7";"";"90";"Ветер, дующий с юго-юго-востока";"1";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Снег непрерывный слабый в срок наблюдения.  Диаметр отложения мокрого снега составляет 12 мм.";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"";"";"";"";"";"";"";"0.5";"-1.9";"";"";"";"";"";"";
"08.03.2022 21:00";"-0.5";"747.9";"758.8";"";"90";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час.  Диаметр отложения мокрого снега составляет 10 мм.";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"100-200";"";"";"1.0";"-2.0";"";"";"";"";"";"";
"08.03.2022 18:00";"-0.2";"747.4";"758.3";"";"88";"Ветер, дующий с востока";"1";"";"";"100%.";"Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"0.1";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"100-200";"";"";"1.0";"-1.9";"3.0";"12";"";"";"";"";
"08.03.2022 15:00";"-0.2";"747.3";"758.2";"";"85";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"200-300";"";"";"4.0";"-2.4";"";"";"";"";"";"";
"08.03.2022 12:00";"-1.4";"747.6";"758.5";"";"85";"Ветер, дующий с востока";"1";"";"";"100%.";"Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"200-300";"";"";"2.0";"-3.6";"";"";"";"";"";"";
"08.03.2022 09:00";"-2.7";"748.2";"759.1";"";"83";"Ветер, дующий с востоко-северо-востока";"2";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"4.0";"-5.3";"";"";"";"";"";"";
"08.03.2022 06:00";"-2.8";"748.3";"759.3";"";"80";"Ветер, дующий с востока";"1";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-3.9";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"300-600";"";"";"4.0";"-5.8";"0.3";"12";"";"";"Неровный слой слежавшегося или мокрого снега покрывает почву полностью.";"5.0";
"08.03.2022 03:00";"-2.1";"748.7";"759.7";"";"69";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"-7.0";"";"";"";"";"";"";
"08.03.2022 00:00";"-2.9";"749.3";"760.3";"";"75";"Ветер, дующий с юга";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-6.7";"";"";"";"";"";"";
"07.03.2022 21:00";"-2.2";"749.8";"760.7";"";"68";"Ветер, дующий с юго-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-7.4";"";"";"";"";"";"";
"07.03.2022 18:00";"-1.3";"749.8";"760.8";"";"60";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";" ";"";"";"";"0.8";"Слоисто-кучевые, образовавшиеся из кучевых.";"70 – 80%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-8.1";"Осадков нет";"12";"";"";"";"";
"07.03.2022 15:00";"-0.1";"749.7";"760.6";"";"55";"Ветер, дующий с юго-запада";"2";"";"";"50%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-8.2";"";"";"";"";"";"";
"07.03.2022 12:00";"-0.6";"750.5";"761.4";"";"60";"Ветер, дующий с юго-юго-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-7.6";"";"";"";"";"";"";
"07.03.2022 09:00";"-4.7";"751.1";"762.2";"";"71";"Ветер, дующий с юго-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"-8.1";"";"";"";"";"";"";"10.0";"-9.2";"";"";"";"";"";"";
"07.03.2022 06:00";"-7.7";"750.8";"762.1";"";"81";"Ветер, дующий с северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"-7.7";"";"";"";"";"";"";"10.0";"-10.4";"Осадков нет";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"6.0";
"07.03.2022 03:00";"-6.6";"751.1";"762.3";"";"76";"Ветер, дующий с северо-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-10.1";"";"";"";"";"";"";
"07.03.2022 00:00";"-5.9";"751.6";"762.7";"";"75";"Ветер, дующий с северо-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-9.6";"";"";"";"";"";"";
"06.03.2022 21:00";"-4.9";"751.8";"762.9";"";"70";"Ветер, дующий с северо-запада";"4";"";"10";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-9.6";"";"";"";"";"";"";
"06.03.2022 18:00";"-2.9";"750.7";"761.7";"";"59";"Ветер, дующий с северо-северо-запада";"2";"";"12";"Облаков нет.";" ";"";"";"";"-0.9";"";"";"";"";"";"10.0";"-9.8";"Следы осадков";"12";"";"";"";"";
"06.03.2022 15:00";"-1.6";"749.5";"760.5";"";"47";"Ветер, дующий с северо-северо-запада";"6";"12";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-11.5";"";"";"";"";"";"";
"06.03.2022 12:00";"-2.1";"748.3";"759.2";"";"56";"Ветер, дующий с северо-северо-запада";"7";"14";"17";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-9.8";"";"";"";"";"";"";
"06.03.2022 09:00";"-1.9";"747.3";"758.2";"";"62";"Ветер, дующий с северо-северо-запада";"4";"";"12";"Облаков нет.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Снег и/или другие виды твердых осадков";"Метель";"-2.6";"";"";"";"";"";"";"10.0";"-8.3";"";"";"";"";"";"";
"06.03.2022 06:00";"-2.2";"746.1";"757.0";"";"73";"Ветер, дующий с северо-северо-запада";"5";"";"11";"100%.";"Снег с перерывами слабый в срок наблюдения.  Диаметр отложения мокрого снега составляет 3 мм.";"Снег и/или другие виды твердых осадков";"Метель";"-2.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-6.4";"1.0";"12";"";"";"Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"7.0";
